"Location","NPA",""
"Alaska","907",""
"Alabama","938",""
"Alabama","251",""
"Alabama","205",""
"Alabama","256",""
"Alabama","334",""
"Alabama","659",""
"ALBERTA","368",""
"ALBERTA","825",""
"ALBERTA","780",""
"ALBERTA","587",""
"ALBERTA","403",""
"ANGUILLA","264",""
"ANTIGUA/BARBUDA","268",""
"Arkansas","479",""
"Arkansas","870",""
"Arkansas","501",""
"American Samoa","684",""
"Arizona","928",""
"Arizona","623",""
"Arizona","520",""
"Arizona","602",""
"Arizona","480",""
"BAHAMAS","242",""
"BARBADOS","246",""
"BERMUDA","441",""
"BRITISH COLUMBIA","236",""
"BRITISH COLUMBIA","604",""
"BRITISH COLUMBIA","250",""
"BRITISH COLUMBIA","672",""
"BRITISH COLUMBIA","778",""
"BRITISH VIRGIN ISLANDS","284",""
"California","619",""
"California","559",""
"California","628",""
"California","650",""
"California","657",""
"California","661",""
"California","408",""
"California","415",""
"California","424",""
"California","442",""
"California","626",""
"California","949",""
"California","530",""
"California","562",""
"California","510",""
"California","369",""
"California","350",""
"California","341",""
"California","323",""
"California","310",""
"California","279",""
"California","209",""
"California","213",""
"California","669",""
"California","707",""
"California","714",""
"California","747",""
"California","760",""
"California","805",""
"California","818",""
"California","820",""
"California","831",""
"California","840",""
"California","858",""
"California","909",""
"California","916",""
"California","925",""
"California","951",""
"CAYMAN ISLANDS","345",""
"Commonwealth of the Northern Mariana Islands","670",""
"Colorado","970",""
"Colorado","303",""
"Colorado","719",""
"Colorado","983",""
"Colorado","720",""
"Connecticut","203",""
"Connecticut","959",""
"Connecticut","860",""
"Connecticut","475",""
"Washington DC","202",""
"Washington DC","771",""
"Delaware","302",""
"DOMINICA","767",""
"DOMINICAN REPUBLIC","849",""
"DOMINICAN REPUBLIC","829",""
"DOMINICAN REPUBLIC","809",""
"Florida","645",""
"Florida","305",""
"Florida","407",""
"Florida","448",""
"Florida","239",""
"Florida","689",""
"Florida","727",""
"Florida","728",""
"Florida","754",""
"Florida","772",""
"Florida","786",""
"Florida","813",""
"Florida","850",""
"Florida","863",""
"Florida","941",""
"Florida","954",""
"Florida","352",""
"Florida","386",""
"Florida","321",""
"Florida","904",""
"Florida","561",""
"Florida","656",""
"Georgia","404",""
"Georgia","229",""
"Georgia","762",""
"Georgia","478",""
"Georgia","678",""
"Georgia","706",""
"Georgia","912",""
"Georgia","770",""
"Georgia","943",""
"Georgia","470",""
"GRENADA","473",""
"Guam","671",""
"Hawaiian Islands","808",""
"Iowa","563",""
"Iowa","319",""
"Iowa","641",""
"Iowa","712",""
"Iowa","515",""
"Idaho","986",""
"Idaho","208",""
"Illinois","773",""
"Illinois","779",""
"Illinois","730",""
"Illinois","815",""
"Illinois","847",""
